assetIssued;factor;approvedOn;isinCode;label;lastDatePrior;remarks
BRPQAGCTF009;900,00000000000;05/10/2020;BRPQAGCTF009;DESDOBRAMENTO;04/11/2020;
BRPRSNCTF005;0,25000000000;05/12/2021;BRPRSNCTF005;GRUPAMENTO;31/01/2022;
;100,00000000000;25/03/2022;BRQIRIR04M12;RESG TOTAL RV;25/03/2022;
;100,00000000000;29/10/2021;BRQIRIR01M15;RESG TOTAL RV;29/10/2021;
;100,00000000000;29/10/2021;BRQIRIR03M13;RESG TOTAL RV;29/10/2021;
BRRBCOCTF007;900,00000000000;16/08/2019;BRRBCOCTF007;DESDOBRAMENTO;16/08/2019;
BRRMAICTF000;900,00000000000;23/02/2021;BRRMAICTF000;DESDOBRAMENTO;26/02/2021;
BRARCTCTF008;900,00000000000;26/01/2021;BRARCTCTF008;DESDOBRAMENTO;26/01/2021;
;100,00000000000;19/04/2022;BRSFROR01M18;RESG TOTAL RV;19/04/2022;
BRSJAUCTF009;21.888,82297499480;14/04/2021;BRSJAUCTF009;DESDOBRAMENTO;15/04/2021;
BRSTRXCTF006;9.899,99798655683;12/07/2021;BRSTRXCTF006;DESDOBRAMENTO;13/07/2021;
BRSTRXR01M11;9.899,99798655683;12/07/2021;BRSTRXR01M11;DESDOBRAMENTO;13/07/2021;
;100,00000000000;12/11/2021;BRVLJSCTF012;RESG TOTAL RV;12/11/2021;
BRVIURCTF009;900,00000000000;13/05/2022;BRVIURCTF009;DESDOBRAMENTO;16/05/2022;
BRVIFICTF009;900,00000000000;26/04/2022;BRVIFICTF009;DESDOBRAMENTO;27/04/2022;
BRVILGCTF001;10,00000000000;08/02/2019;BRVILGCTF001;DESDOBRAMENTO;08/03/2019;
;100,00000000000;18/06/2020;BRXPHTR01M16;RESG TOTAL RV;18/06/2020;
;100,00000000000;30/03/2020;BRXPLGR06M10;RESG TOTAL RV;30/03/2020;
BRXPSFCTF009;900,00000000000;03/05/2022;BRXPSFCTF009;DESDOBRAMENTO;05/05/2022;
